Genre,Kenmerk,Gemiddelde,Aantal
piano,tempo,118.08467399999999,1000
piano,valence,0.31326620000000005,1000
pop,danceability,0.630441,1000
pop,energy,0.606437,1000
pop,tempo,120.92707300000001,1000
pop,valence,0.5062227,1000
pop-film,danceability,0.597146,1000
pop-film,energy,0.6045619,1000
pop-film,tempo,117.257478,1000
pop-film,valence,0.5292532999999999,1000
power-pop,danceability,0.47341,1000
power-pop,energy,0.801688,1000
power-pop,tempo,134.651615,1000
power-pop,valence,0.6145689999999999,1000
progressive-house,danceability,0.6239349999999999,1000
progressive-house,energy,0.813359,1000
progressive-house,tempo,125.093636,1000
progressive-house,valence,0.36530009999999996,1000
psych-rock,danceability,0.502554,1000
psych-rock,energy,0.5615028,1000
psych-rock,tempo,121.572999,1000
psych-rock,valence,0.564732,1000
punk,danceability,0.499778,1000
punk,energy,0.809673,1000
punk,tempo,133.60051800000002,1000
punk,valence,0.5555907,1000
punk-rock,danceability,0.507329,1000
punk-rock,energy,0.80998,1000
punk-rock,tempo,132.219025,1000
punk-rock,valence,0.5669669,1000
r-n-b,danceability,0.614388,1000
r-n-b,energy,0.6381296706,1000
r-n-b,tempo,124.038939,1000
r-n-b,valence,0.6331639,1000
reggae,danceability,0.745331,1000
reggae,energy,0.7257910000000001,1000
reggae,tempo,119.867602,1000
reggae,valence,0.647529,1000
reggaeton,danceability,0.758521,1000
reggaeton,energy,0.7387279999999999,1000
reggaeton,tempo,118.872403,1000
reggaeton,valence,0.6427535,1000
rock,danceability,0.543609,1000
rock,energy,0.6790711,1000
rock,tempo,126.321238,1000
rock,valence,0.5389026,1000
rock-n-roll,danceability,0.5503020000000001,1000
rock-n-roll,energy,0.5266152,1000
rock-n-roll,tempo,120.390017,1000
rock-n-roll,valence,0.67049,1000
rockabilly,danceability,0.561202,1000
rockabilly,energy,0.6593719,1000
rockabilly,tempo,123.660635,1000
rockabilly,valence,0.726951,1000
romance,danceability,0.4321332,1000
romance,energy,0.2943038,1000
romance,tempo,109.693052,1000
romance,valence,0.3934147,1000
sad,danceability,0.692378,1000
sad,energy,0.4624701,1000
sad,tempo,119.06495,1000
sad,valence,0.4220495,1000
salsa,danceability,0.668288,1000
salsa,energy,0.724518,1000
salsa,tempo,119.91508900000001,1000
salsa,valence,0.814838,1000
samba,danceability,0.5748970000000001,1000
samba,energy,0.6726435000000001,1000
samba,tempo,118.122361,1000
samba,valence,0.6934091,1000
sertanejo,danceability,0.591647,1000
sertanejo,energy,0.710391,1000
sertanejo,tempo,127.052197,1000
sertanejo,valence,0.619325,1000
show-tunes,danceability,0.4637381,1000
show-tunes,energy,0.39874176,1000
show-tunes,tempo,114.372216,1000
show-tunes,valence,0.3788129,1000
singer-songwriter,danceability,0.562022,1000
singer-songwriter,energy,0.4341884,1000
singer-songwriter,tempo,119.737322,1000
singer-songwriter,valence,0.4142976,1000
ska,danceability,0.5806760000000001,1000
ska,energy,0.793134,1000
ska,tempo,128.338341,1000
ska,valence,0.69672,1000
sleep,danceability,0.1679225,1000
sleep,energy,0.34207171670000003,1000
sleep,tempo,84.619491,1000
sleep,valence,0.058187871,1000
songwriter,danceability,0.562022,1000
songwriter,energy,0.4341884,1000
songwriter,tempo,119.737322,1000
songwriter,valence,0.4142976,1000
soul,danceability,0.600112,1000
soul,energy,0.5338726,1000
soul,tempo,114.62916899999999,1000
soul,valence,0.5233104,1000
spanish,danceability,0.6043099999999999,1000
spanish,energy,0.707777,1000
spanish,tempo,122.832437,1000
spanish,valence,0.5484960999999999,1000
study,danceability,0.68524,1000
study,energy,0.41065809999999997,1000
study,tempo,111.763835,1000
study,valence,0.4027009,1000
swedish,danceability,0.590413,1000
swedish,energy,0.6220025,1000
swedish,tempo,121.094523,1000
swedish,valence,0.5329407,1000
synth-pop,danceability,0.620663,1000
synth-pop,energy,0.7131349,1000
synth-pop,tempo,122.85003200000001,1000
synth-pop,valence,0.5863771000000001,1000
tango,danceability,0.537862,1000
tango,energy,0.372828,1000
tango,tempo,114.55432,1000
tango,valence,0.5835295,1000
techno,danceability,0.684348,1000
techno,energy,0.746413,1000
techno,tempo,128.255482,1000
techno,valence,0.3218783,1000
trance,danceability,0.583409,1000
trance,energy,0.845272,1000
trance,tempo,133.276726,1000
trance,valence,0.27688080000000004,1000
trip-hop,danceability,0.634695,1000
trip-hop,energy,0.6223630000000001,1000
trip-hop,tempo,118.74361599999999,1000
trip-hop,valence,0.4780688,1000
turkish,danceability,0.616077,1000
turkish,energy,0.6098036,1000
turkish,tempo,120.367607,1000
turkish,valence,0.4623137,1000
world-music,danceability,0.414572,1000
world-music,energy,0.5329867402999999,1000
world-music,tempo,121.393711,1000
world-music,valence,0.25029526,1000
