Deelnemer ID,Nummer,Spotify ID,Artiest,Stemming begin,Energie begin,Gevoel begin,Aan het studeren,Studietaak,Muziek tijdens studeren,Moeilijkheid studie,Reden focus,Stemming later,Energie later,Gevoel later,track_id,track_genre,energy,valence,tempo,danceability,popularity,Stemmingsverschil,Energieverschil,_bronrij
3043,Thunder,spotify:track:2USlegnFJLrVLpoVfPimKB,Gabry Ponte,,,,,,,,,,,,2USlegnFJLrVLpoVfPimKB,dance,0.896,0.403,101.216,0.67,80.0,,,39
3043,Thunder,spotify:track:2USlegnFJLrVLpoVfPimKB,Gabry Ponte,,,,,,,,,,,,2USlegnFJLrVLpoVfPimKB,edm,0.896,0.403,101.216,0.67,80.0,,,39
3043,Thunder,spotify:track:2USlegnFJLrVLpoVfPimKB,Gabry Ponte,,,,,,,,,,,,2USlegnFJLrVLpoVfPimKB,house,0.896,0.403,101.216,0.67,80.0,,,39
3043,All Night Long,spotify:track:0sXJVqQsz7xulitkqf5O53,Brass Band Oberschwaben-AllgÃ¤u,,,,,,,,,,,,,,,,,,,,,40
3043,,,,-1.0,-2.0,Anxious,No,,,,,,,,,,,,,,,,,41
3043,Danses PaÃ¯ennes,spotify:track:6g0VW2d2a6XuG8fpXM8WfA,Eddy Debons,1.0,-1.0,Worried,No,,,,,,,,,,,,,,,,,42
3043,I Still Have Faith In You,spotify:track:3D9TYPbNo1nnTwE4eLKxnJ,ABBA,-1.0,-1.0,Tired,No,,,,,,,,3D9TYPbNo1nnTwE4eLKxnJ,swedish,0.337,0.381,75.041,0.445,52.0,,,43
3043,Hypercube,spotify:track:7MrPZCszweFRL3S0OwQKPw,Oliver Waespi,-1.0,-1.0,Anxious,No,,,,,,,,,,,,,,,,,44
3043,Moments We Live For,spotify:track:7LsA36A2bVTrfGLWBvH1Cm,In Paradise,0.0,-1.0,Tired,No,,,,,,,,,,,,,,,,,45
3043,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,spotify:track:3iw6V4LH7yPj1ESORX9RIN,Nathan Evans,,,,,,,,,,,,,,,,,,,,,46
3043,All Night Long,spotify:track:0sXJVqQsz7xulitkqf5O53,Brass Band Oberschwaben-AllgÃ¤u,,,,,,,,,,,,,,,,,,,,,47
3043,All Night Long,spotify:track:0sXJVqQsz7xulitkqf5O53,Brass Band Oberschwaben-AllgÃ¤u,0.0,0.0,Calm,No,,,,,,,,,,,,,,,,,48
3043,Eleanor Rigby,spotify:track:62P3CMQAknHW4iftsBD41Y,Cody Fry,1.0,0.0,Calm,No,,,,,,,,,,,,,,,,,49
3043,Moments We Live For,spotify:track:7LsA36A2bVTrfGLWBvH1Cm,In Paradise,0.0,0.0,Anxious,No,,,,,0.0,0.0,,,,,,,,,0.0,0.0,50
3043,avalanche,spotify:track:1RlmAzI27AlIpvoRN3u6Iy,Christian French,,,,,,,,,,,,1RlmAzI27AlIpvoRN3u6Iy,electro,0.864,0.892,160.009,0.636,63.0,,,51
3043,If I Didn't Have You,spotify:track:7Etf7VJoXNJlO4oMJRUDlT,BANNERS,,,,,,,,,,,,,,,,,,,,,52
3043,Bang!,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,,,,,,,,,,,,,,,,,,,,,53
3043,Run,spotify:track:2UbVnbE5FH6008mAm6Mmgw,OneRepublic,,,,,,,,,,,,2UbVnbE5FH6008mAm6Mmgw,piano,0.72,0.673,117.003,0.682,76.0,,,54
3043,Run,spotify:track:2UbVnbE5FH6008mAm6Mmgw,OneRepublic,,,,,,,,,,,,2UbVnbE5FH6008mAm6Mmgw,rock,0.72,0.673,117.003,0.682,76.0,,,54
3043,Concerto De Aranjuez,spotify:track:5SVmpsrnP0uX1GlMwD5PPy,The Flowers Band,,,,,,,,,,,,,,,,,,,,,55
3043,Feeling Good,spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,Michael BublÃ©,1.0,1.0,Curious,No,,,,,,,,1AM8QdDFZMq6SrrqUnuQ9P,j-pop,0.548,0.477,115.144,0.535,73.0,,,56
3043,Feeling Good,spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,Michael BublÃ©,1.0,1.0,Curious,No,,,,,,,,1AM8QdDFZMq6SrrqUnuQ9P,jazz,0.548,0.477,115.144,0.535,73.0,,,56
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,2.0,1.0,Confident,No,,,,,,,,,,,,,,,,,57
3043,The last call,spotify:track:5QizpqyN2y25HEEH9xDZeT,Otto M. Schwarz,,,,,,,,,,,,,,,,,,,,,58
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,1.0,1.0,calm,No,,,,,,,,,,,,,,,,,59
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,,,,,,,,,,,,,,,,,,,,,60
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,,,,,,,,,,,,,,,,,,,,,61
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,,,,,,,,,,,,,,,,,,,,,62
3043,Nobody Does It Better,spotify:track:3qjTlglK3HbjRsCDmR9IzS,Marvin Hamlisch,,,,,,,,,,,,,,,,,,,,,63
3043,The Hypnotist - Cornet Solo Version,spotify:track:4WT271Oh0OszUW8iJ21qKh,Oblt Philipp Werlen,,,,,,,,,,,,,,,,,,,,,64
3043,State Of Grace (Taylor's Version),spotify:track:6lzc0Al0zfZOIFsFvBS1ki,Taylor Swift,,,,,,,,,,,,,,,,,,,,,65
3043,Erin Shore,spotify:track:1SKyU1LqvsRqook6Xnl9mh,Brighouse And Rastrick Brass Band,,,,,,,,,,,,,,,,,,,,,66
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,,,,,,,,,,,,,,,,,,,,,67
3043,Movement,spotify:track:0SFq19lgG4qbQAZaNZ3xhO,Hozier,,,,,,,,,,,,0SFq19lgG4qbQAZaNZ3xhO,singer-songwriter,0.502,0.147,144.3,0.381,62.0,,,68
3043,Movement,spotify:track:0SFq19lgG4qbQAZaNZ3xhO,Hozier,,,,,,,,,,,,0SFq19lgG4qbQAZaNZ3xhO,songwriter,0.502,0.147,144.3,0.381,62.0,,,68
3043,Movement,spotify:track:0SFq19lgG4qbQAZaNZ3xhO,Hozier,,,,,,,,,,,,0SFq19lgG4qbQAZaNZ3xhO,singer-songwriter,0.502,0.147,144.3,0.381,62.0,,,69
